Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
16,SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.1384,1888,3,68.6314,164.358,1425,90,14,3,
17,SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.5765,1919,0,70.4628,160.176,1442,92,8,-9,
18,SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.2736,2057,38,71.7187,173.828,1487,96,8,8,

0,HARRIS,BRISK,MAT_BF,SEL_KNN,12.8073,299,0,4.29951,0,0,,,,
1,HARRIS,BRISK,MAT_BF,SEL_KNN,12.2245,820,0,9.63186,5.45814,152,14,-10,12,
2,HARRIS,BRISK,MAT_BF,SEL_KNN,12.4166,319,0,4.48386,6.10758,340,43,10,12,
3,HARRIS,BRISK,MAT_BF,SEL_KNN,12.4045,583,0,7.03514,4.19096,180,21,10,13,
4,HARRIS,BRISK,MAT_BF,SEL_KNN,12.2589,940,0,10.7944,12.6347,276,,,,
5,HARRIS,BRISK,MAT_BF,SEL_KNN,12.1728,913,0,10.4714,19.5476,456,41,0,16,
6,HARRIS,BRISK,MAT_BF,SEL_KNN,12.8665,1008,0,11.4189,21.0633,432,41,11,12,
7,HARRIS,BRISK,MAT_BF,SEL_KNN,12.7853,1149,0,12.9559,25.2015,505,66,10,34,
8,HARRIS,BRISK,MAT_BF,SEL_KNN,12.742,677,0,8.10083,17.9795,536,57,80,9,
9,HARRIS,BRISK,MAT_BF,SEL_KNN,12.2589,364,0,4.8812,5.63936,340,39,10,18,
10,HARRIS,BRISK,MAT_BF,SEL_KNN,12.6224,1028,0,11.9607,8.31151,207,24,-2147483648,18,
11,HARRIS,BRISK,MAT_BF,SEL_KNN,12.8127,466,0,6.14182,12.6648,461,41,5,3,
12,HARRIS,BRISK,MAT_BF,SEL_KNN,12.3628,581,0,7.0187,6.1057,287,34,11,-10,
13,HARRIS,BRISK,MAT_BF,SEL_KNN,12.0724,634,0,7.71714,8.10109,329,45,13,9,
14,HARRIS,BRISK,MAT_BF,SEL_KNN,12.2489,443,0,5.97107,6.66034,352,39,11,10,
15,HARRIS,BRISK,MAT_BF,SEL_KNN,12.564,1082,0,12.5073,12.2236,278,25,10,8,
16,HARRIS,BRISK,MAT_BF,SEL_KNN,12.5507,817,3,9.82326,20.4717,590,,,,
17,HARRIS,BRISK,MAT_BF,SEL_KNN,13.005,340,0,4.64075,6.23586,334,30,11,-9,
18,HARRIS,BRISK,MAT_BF,SEL_KNN,12.2702,433,38,5.58233,3.38327,206,22,11,8,

0,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.3927,299,0,1.89191,0,0,,,,
1,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.5887,820,0,3.47153,9.74371,156,20,70,12,
2,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.3241,319,0,1.87332,7.17793,405,46,10,12,
3,HARRIS,BRIEF,MAT_BF,SEL_KNN,12.283,583,0,2.66686,11.4064,173,21,10,13,
4,HARRIS,BRIEF,MAT_BF,SEL_KNN,14.425,940,0,4.02784,10.4995,271,26,55,7,
5,HARRIS,BRIEF,MAT_BF,SEL_KNN,15.7328,913,0,6.49908,17.6193,456,52,11,16,
